N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
151,KODEX 레버리지,"28,110",390,-1.37%,0,"16,810","59,800",3.46,"40,021,890",N/A,N/A,
152,KODEX 200TR,"13,900",110,-0.79%,0,"16,576","119,250",0.01,"270,524",N/A,N/A,
153,솔루스첨단소재,"53,900",800,+1.51%,100,"16,488","30,590",9.63,"1,189,846",155.78,N/A,
154,F&F,"106,000","9,900",+10.30%,500,"16,324","15,400",9.54,"567,482",18.74,25.13,
155,KODEX MSCI Korea TR,"14,020",70,-0.50%,0,"16,319","116,400",11.09,"593,127",N/A,N/A,
156,효성,"77,000","1,100",+1.45%,"5,000","16,225","21,071",6.78,"170,343",-36.10,4.25,
157,롯데정밀화학,"60,700","2,400",+4.12%,"5,000","15,661","25,800",22.91,"686,983",9.15,11.73,
158,TIGER MSCI Korea TR,"17,595",105,-0.59%,0,"15,325","87,100",0.01,"166,401",N/A,N/A,
159,부광약품,"23,550",250,-1.05%,500,"15,269","64,838",4.90,"682,041","11,775.00",-2.00,
160,지누스,"105,500","1,500",+1.44%,500,"15,199","14,407",22.78,"50,718",21.29,26.32,
161,영원무역,"34,300",550,+1.63%,500,"15,199","44,311",23.76,"288,997",9.28,9.82,
162,KODEX 종합채권(AA-이상)액티브,"109,970",205,-0.19%,0,"15,032","13,669",0.00,"5,952",N/A,N/A,
163,한국앤컴퍼니,"16,100",500,-3.01%,500,"14,976","93,020",7.44,"653,303",13.44,4.71,
164,LG전자우,"87,000","3,000",-3.33%,"5,000","14,952","17,186",38.46,"4,109,830",18.90,N/A,
165,LG생활건강우,"709,000","9,000",+1.29%,"5,000","14,887","2,100",84.27,"8,486",15.89,N/A,
166,세방전지,"105,500","9,400",+9.78%,500,"14,770","14,000",26.33,"677,602",19.98,7.70,
167,NHN,"72,800",800,+1.11%,500,"14,243","19,565",11.70,"168,992",48.50,0.78,
168,SK네트웍스,"5,560",70,+1.28%,"2,500","13,799","248,188",12.04,"6,420,881",-24.07,-5.85,
169,영진약품,"7,110",120,-1.66%,500,"13,004","182,893",4.27,"987,403","-1,777.50",4.43,
170,메리츠금융지주,"9,700",30,-0.31%,500,"12,999","134,011",8.29,"81,666",2.79,15.26,
171,에스엘,"26,850",100,+0.37%,500,"12,943","48,203",15.97,"1,256,967",28.84,7.25,
172,이노션,"63,500",400,-0.63%,500,"12,700","20,000",29.57,"86,760",19.78,9.88,
173,신세계인터내셔날,"177,500","4,500",+2.60%,"5,000","12,674","7,140",4.88,"111,788",28.11,12.98,
174,SK디스커버리,"66,400",700,+1.07%,"5,000","12,641","19,038",9.83,"227,268",4.36,11.52,
175,한전KPS,"28,000",50,+0.18%,200,"12,600","45,000",11.00,"206,618",10.39,14.98,
176,효성티앤씨,"289,000",500,+0.17%,"5,000","12,507","4,328",18.21,"46,340",14.67,20.86,
177,한국콜마,"54,300","1,400",+2.65%,500,"12,424","22,881",27.88,"663,536",39.06,6.39,
178,대한전선,"1,445",60,+4.33%,500,"12,376","856,473",1.81,"17,986,463",-80.28,-3.99,
179,후성,"13,100",350,-2.60%,500,"12,131","92,607",4.57,"2,022,600",-238.18,3.85,
180,더블유게임즈,"65,400","2,100",+3.32%,500,"12,017","18,375",14.07,"340,806",11.21,18.93,
181,KBSTAR 200,"43,335",290,-0.66%,0,"11,960","27,600",0.12,"169,199",N/A,N/A,
182,아시아나항공,"16,050",250,+1.58%,"5,000","11,943","74,412",20.63,"2,279,818",-1.39,-90.67,
183,금호타이어,"4,145",100,+2.47%,"5,000","11,907","287,260",5.20,"1,957,179",-11.88,-3.30,
184,KG동부제철,"11,900",50,-0.42%,"5,000","11,901","100,009",0.18,"390,801",14.44,-7.44,
185,KODEX 코스닥150 레버리지,"16,190",125,-0.77%,0,"11,835","73,100",2.60,"12,753,459",N/A,N/A,
